model,year,price,transmission,mileage,fuel type,engine size
 Focus,2016,8000,Manual,24017,Petrol,1.0
 Focus,2019,13400,Manual,24017,Petrol,1.0
 Focus,2019,14600,Manual,24017,Petrol,1.5
 Focus,2016,9450,Manual,24017,Diesel,1.6
 Focus,2015,9999,Manual,24017,Diesel,1.6
 Focus,2016,10699,Automatic,24017,Petrol,1.0
 Focus,2018,12849,Manual,24017,Petrol,1.0
 Focus,2020,24999,Manual,24017,Petrol,2.3
 Focus,2018,11999,Manual,24017,Petrol,1.5
 Focus,2019,19500,Manual,24017,Diesel,1.5
 Focus,2019,19575,Automatic,24017,Diesel,1.5
 Focus,2019,19315,Automatic,24017,Diesel,2.0
 Focus,2019,16440,Automatic,24017,Petrol,1.0
 Focus,2019,21660,Automatic,24017,Diesel,2.0
 Focus,2019,19000,Automatic,24017,Diesel,2.0
 Focus,2019,16040,Manual,24017,Petrol,1.0
 Focus,2019,14560,Manual,24017,Petrol,1.0
 Focus,2019,16040,Manual,24017,Diesel,1.5
 Focus,2019,18650,Automatic,24017,Diesel,1.5
 Focus,2019,19015,Manual,24017,Diesel,1.5
 Focus,2019,19560,Automatic,24017,Diesel,1.5
 Focus,2018,11000,Manual,24017,Petrol,1.0
 Focus,2019,16920,Manual,24017,Petrol,1.5
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2019,18785,Manual,24017,Diesel,1.5
 Focus,2019,18580,Manual,24017,Diesel,1.5
 Focus,2019,18990,Automatic,24017,Diesel,2.0
 Focus,2019,19340,Automatic,24017,Diesel,1.5
 Focus,2019,19390,Automatic,24017,Diesel,1.5
 Focus,2019,16035,Manual,24017,Petrol,1.0
 Focus,2019,15540,Manual,24017,Diesel,1.5
 Focus,2019,15335,Manual,24017,Petrol,1.0
 Focus,2019,16425,Manual,24017,Petrol,1.0
 Focus,2019,15940,Manual,24017,Diesel,1.5
 Focus,2019,21420,Automatic,24017,Diesel,2.0
 Focus,2019,20300,Automatic,24017,Diesel,1.5
 Focus,2019,16040,Manual,24017,Petrol,1.0
 Focus,2019,16400,Manual,24017,Petrol,1.0
 Focus,2019,17300,Automatic,24017,Petrol,1.0
 Focus,2019,16395,Manual,24017,Diesel,1.5
 Focus,2019,16655,Manual,24017,Petrol,1.5
 Focus,2019,15335,Manual,24017,Petrol,1.0
 Focus,2019,15235,Manual,24017,Petrol,1.0
 Focus,2019,15335,Manual,24017,Petrol,1.0
 Focus,2019,15435,Manual,24017,Petrol,1.0
 Focus,2019,14510,Manual,24017,Petrol,1.0
 Focus,2019,20950,Automatic,24017,Diesel,2.0
 Focus,2019,19175,Automatic,24017,Diesel,1.5
 Focus,2015,7500,Manual,24017,Petrol,1.0
 Focus,2016,10250,Manual,24017,Petrol,1.0
 Focus,2019,16000,Automatic,24017,Petrol,1.0
 Focus,2019,22000,Automatic,24017,Diesel,2.0
 Focus,2020,18500,Manual,24017,Petrol,1.0
 Focus,2018,12900,Manual,24017,Petrol,1.0
 Focus,2016,10000,Manual,24017,Petrol,1.0
 Focus,2013,6500,Manual,24017,Petrol,1.0
 Focus,2015,8000,Manual,24017,Diesel,1.5
 Focus,2017,11250,Manual,24017,Diesel,1.5
 Focus,2018,13500,Manual,24017,Petrol,1.0
 Focus,2017,10750,Manual,24017,Diesel,1.5
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2019,21570,Automatic,24017,Diesel,2.0
 Focus,2019,21680,Automatic,24017,Diesel,2.0
 Focus,2019,20480,Manual,24017,Petrol,1.5
 Focus,2019,17500,Automatic,24017,Petrol,1.0
 Focus,2019,19375,Manual,24017,Diesel,1.5
 Focus,2019,15940,Manual,24017,Diesel,1.5
 Focus,2019,16090,Manual,24017,Diesel,1.5
 Focus,2019,16950,Manual,24017,Petrol,1.0
 Focus,2019,14090,Manual,24017,Petrol,1.0
 Focus,2019,16450,Manual,24017,Petrol,1.0
 Focus,2019,15885,Manual,24017,Petrol,1.0
 Focus,2019,16040,Manual,24017,Diesel,1.5
 Focus,2019,28805,Manual,24017,Petrol,2.3
 Focus,2019,28930,Manual,24017,Petrol,2.3
 Focus,2019,28755,Manual,24017,Petrol,2.3
 Focus,2019,18225,Manual,24017,Petrol,1.0
 Focus,2019,16400,Manual,24017,Petrol,1.0
 Focus,2019,16350,Manual,24017,Petrol,1.0
 Focus,2019,18330,Manual,24017,Diesel,1.5
 Focus,2019,15885,Manual,24017,Petrol,1.0
 Focus,2019,16635,Automatic,24017,Petrol,1.0
 Focus,2019,16700,Manual,24017,Petrol,1.0
 Focus,2019,16840,Manual,24017,Petrol,1.0
 Focus,2019,16400,Manual,24017,Petrol,1.0
 Focus,2019,17150,Automatic,24017,Petrol,1.0
 Focus,2017,18500,Manual,24017,Petrol,2.0
 Focus,2015,8000,Manual,24017,Diesel,1.5
 Focus,2017,11250,Manual,24017,Diesel,1.5
 Focus,2018,13500,Manual,24017,Petrol,1.0
 Focus,2017,10750,Manual,24017,Diesel,1.5
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2017,12000,Automatic,24017,Petrol,1.0
 Focus,2017,13000,Manual,24017,Petrol,1.0
 Focus,2018,11000,Manual,24017,Petrol,1.0
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2019,28730,Manual,24017,Petrol,2.3
 Focus,2019,18695,Manual,24017,Petrol,1.5
 Focus,2019,20905,Automatic,24017,Diesel,1.5
 Focus,2019,20435,Manual,24017,Petrol,1.5
 Focus,2015,7500,Manual,24017,Petrol,1.0
 Focus,2016,10250,Manual,24017,Petrol,1.0
 Focus,2019,16000,Automatic,24017,Petrol,1.0
 Focus,2016,10000,Manual,24017,Petrol,1.0
 Focus,2019,22000,Automatic,24017,Diesel,2.0
 Focus,2013,6500,Manual,24017,Petrol,1.0
 Focus,2018,14500,Automatic,24017,Petrol,1.0
 Focus,2019,19500,Manual,24017,Diesel,1.5
 Focus,2016,16000,Manual,24017,Petrol,2.0
 Focus,2017,11750,Manual,24017,Diesel,1.5
 Focus,2017,14000,Automatic,24017,Petrol,1.0
 Focus,2019,14610,Manual,24017,Petrol,1.0
 Focus,2019,14460,Manual,24017,Petrol,1.0
 Focus,2019,14660,Manual,24017,Petrol,1.0
 Focus,2019,14510,Manual,24017,Petrol,1.0
 Focus,2019,15935,Manual,24017,Petrol,1.0
 Focus,2019,14560,Manual,24017,Petrol,1.0
 Focus,2019,16950,Manual,24017,Petrol,1.0
 Focus,2019,14760,Manual,24017,Petrol,1.0
 Focus,2019,28580,Manual,24017,Petrol,2.3
 Focus,2019,19330,Automatic,24017,Diesel,1.5
 Focus,2016,16700,Manual,24017,Diesel,2.0
 Focus,2013,9730,Manual,24017,Petrol,2.0
 Focus,2019,16495,Manual,24017,Petrol,1.0
 Focus,2016,10895,Manual,24017,Petrol,1.5
 Focus,2018,12900,Manual,24017,Petrol,1.0
 Focus,2016,10000,Manual,24017,Petrol,1.0
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2017,12000,Automatic,24017,Petrol,1.0
 Focus,2017,13000,Manual,24017,Petrol,1.0
 Focus,2018,11000,Manual,24017,Petrol,1.0
 Focus,2019,22000,Automatic,24017,Diesel,2.0
 Focus,2013,6500,Manual,24017,Petrol,1.0
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2015,7500,Manual,24017,Petrol,1.0
 Focus,2016,10250,Manual,24017,Petrol,1.0
 Focus,2019,16000,Automatic,24017,Petrol,1.0
 Focus,2020,18500,Manual,24017,Petrol,1.0
 Focus,2010,2995,Manual,24017,Petrol,1.6
 Focus,2018,15990,Manual,24017,Petrol,1.0
 Focus,2018,13490,Manual,24017,Diesel,1.5
 Focus,2011,6990,Manual,24017,Petrol,1.6
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2015,7500,Manual,24017,Petrol,1.0
 Focus,2016,10250,Manual,24017,Petrol,1.0
 Focus,2018,12900,Manual,24017,Petrol,1.0
 Focus,2020,18500,Manual,24017,Petrol,1.0
 Focus,2019,16000,Automatic,24017,Petrol,1.0
 Focus,2016,10000,Manual,24017,Petrol,1.0
 Focus,2013,6500,Manual,24017,Petrol,1.0
 Focus,2018,14500,Automatic,24017,Petrol,1.0
 Focus,2019,19500,Manual,24017,Diesel,1.5
 Focus,2016,16000,Manual,24017,Petrol,2.0
 Focus,2017,11750,Manual,24017,Diesel,1.5
 Focus,2017,14000,Automatic,24017,Petrol,1.0
 Focus,2019,22000,Automatic,24017,Diesel,2.0
 Focus,2018,12900,Manual,24017,Petrol,1.0
 Focus,2020,18500,Manual,24017,Petrol,1.0
 Focus,2016,10000,Manual,24017,Petrol,1.0
 Focus,2013,6500,Manual,24017,Petrol,1.0
 Focus,2017,18500,Manual,24017,Petrol,2.0
 Focus,2015,8000,Manual,24017,Diesel,1.5
 Focus,2017,11250,Manual,24017,Diesel,1.5
 Focus,2018,13500,Manual,24017,Petrol,1.0
 Focus,2017,10750,Manual,24017,Diesel,1.5
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2017,12000,Automatic,24017,Petrol,1.0
 Focus,2017,13000,Manual,24017,Petrol,1.0
 Focus,2018,11000,Manual,24017,Petrol,1.0
 Focus,2017,10750,Manual,24017,Diesel,1.5
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2017,13000,Manual,24017,Petrol,1.0
 Focus,2018,14500,Automatic,24017,Petrol,1.0
 Focus,2019,19500,Manual,24017,Diesel,1.5
 Focus,2017,12000,Automatic,24017,Petrol,1.0
 Focus,2018,11000,Manual,24017,Petrol,1.0
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2015,7500,Manual,24017,Petrol,1.0
 Focus,2016,10250,Manual,24017,Petrol,1.0
 Focus,2019,16000,Automatic,24017,Petrol,1.0
 Focus,2019,22000,Automatic,24017,Diesel,2.0
 Focus,2019,14450,Automatic,24017,Petrol,1.0
 Focus,2016,16000,Manual,24017,Petrol,2.0
 Focus,2017,14000,Automatic,24017,Petrol,1.0
 Focus,2017,11750,Manual,24017,Diesel,1.5
 Focus,2017,18500,Manual,24017,Petrol,2.0
 Focus,2015,8000,Manual,24017,Diesel,1.5
 Focus,2017,11250,Manual,24017,Diesel,1.5
 Focus,2018,13500,Manual,24017,Petrol,1.0
 Focus,2013,6500,Manual,24017,Petrol,1.0
 Focus,2017,12000,Automatic,24017,Petrol,1.0
 Focus,2017,13000,Manual,24017,Petrol,1.0
 Focus,2018,11000,Manual,24017,Petrol,1.0
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2015,7500,Manual,24017,Petrol,1.0
 Focus,2016,10250,Manual,24017,Petrol,1.0
 Focus,2019,16000,Automatic,24017,Petrol,1.0
 Focus,2019,22000,Automatic,24017,Diesel,2.0
 Focus,2018,12900,Manual,24017,Petrol,1.0
 Focus,2016,10000,Manual,24017,Petrol,1.0
 Focus,2019,19500,Manual,24017,Diesel,1.5
 Focus,2020,18500,Manual,24017,Petrol,1.0
 Focus,2018,12900,Manual,24017,Petrol,1.0
 Focus,2017,14000,Automatic,24017,Petrol,1.0
 Focus,2017,11750,Manual,24017,Diesel,1.5
 Focus,2016,16000,Manual,24017,Petrol,2.0
 Focus,2017,18500,Manual,24017,Petrol,2.0
 Focus,2015,8000,Manual,24017,Diesel,1.5
 Focus,2017,11250,Manual,24017,Diesel,1.5
 Focus,2018,13500,Manual,24017,Petrol,1.0
 Focus,2017,10750,Manual,24017,Diesel,1.5
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2018,14500,Automatic,24017,Petrol,1.0
 Focus,2016,10000,Manual,24017,Petrol,1.0
 Focus,2013,6500,Manual,24017,Petrol,1.0
 Focus,2012,5999,Manual,24017,Diesel,1.6
 Focus,2017,10750,Manual,24017,Diesel,1.5
 Focus,2018,14500,Automatic,24017,Petrol,1.0
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2017,12000,Automatic,24017,Petrol,1.0
 Focus,2017,13000,Manual,24017,Petrol,1.0
 Focus,2018,11000,Manual,24017,Petrol,1.0
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2015,7500,Manual,24017,Petrol,1.0
 Focus,2016,10250,Manual,24017,Petrol,1.0
 Focus,2019,16000,Automatic,24017,Petrol,1.0
 Focus,2019,22000,Automatic,24017,Diesel,2.0
 Focus,2019,19500,Manual,24017,Diesel,1.5
 Focus,2017,14000,Automatic,24017,Petrol,1.0
 Focus,2017,11750,Manual,24017,Diesel,1.5
 Focus,2016,16000,Manual,24017,Petrol,2.0
 Focus,2017,18500,Manual,24017,Petrol,2.0
 Focus,2015,8000,Manual,24017,Diesel,1.5
 Focus,2017,11250,Manual,24017,Diesel,1.5
 Focus,2018,13500,Manual,24017,Petrol,1.0
 Focus,2018,14500,Automatic,24017,Petrol,1.0
 Focus,2019,19500,Manual,24017,Diesel,1.5
 Focus,2016,16000,Manual,24017,Petrol,2.0
 Focus,2017,11750,Manual,24017,Diesel,1.5
 Focus,2017,14000,Automatic,24017,Petrol,1.0
 Focus,2017,18500,Manual,24017,Petrol,2.0
 Focus,2015,8000,Manual,24017,Diesel,1.5
 Focus,2017,11250,Manual,24017,Diesel,1.5
 Focus,2018,13500,Manual,24017,Petrol,1.0
 Focus,2017,10750,Manual,24017,Diesel,1.5
 Focus,2016,7990,Manual,24017,Diesel,1.5
 Focus,2017,11500,Manual,24017,Diesel,1.5
 Focus,2018,10800,Manual,24017,Diesel,1.5
 Focus,2015,8600,Manual,24017,Diesel,1.5
 Focus,2017,11800,Manual,24017,Diesel,1.5
 Focus,2017,13000,Manual,24017,Diesel,1.5
 Focus,2017,11600,Manual,24017,Petrol,1.0
 Focus,2017,12000,Manual,24017,Petrol,1.0
 Focus,2017,18000,Manual,24017,Petrol,2.0
 Focus,2019,17700,Manual,24017,Diesel,1.5
 Focus,2013,7000,Manual,24017,Diesel,1.6
 Focus,2014,6995,Manual,24017,Diesel,1.6
 Focus,2014,7000,Manual,24017,Diesel,1.6
 Focus,2015,9600,Manual,24017,Diesel,1.5
 Focus,2016,15399,Manual,24017,Petrol,2.0
 Focus,2007,4495,Automatic,24017,Petrol,1.6
 Focus,2015,8000,Manual,24017,Diesel,1.5
 Focus,2017,11250,Manual,24017,Diesel,1.5
 Focus,2018,13500,Manual,24017,Petrol,1.0
 Focus,2017,10750,Manual,24017,Diesel,1.5
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2017,12000,Automatic,24017,Petrol,1.0
 Focus,2017,13000,Manual,24017,Petrol,1.0
 Focus,2018,11000,Manual,24017,Petrol,1.0
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2015,7500,Manual,24017,Petrol,1.0
 Focus,2016,10250,Manual,24017,Petrol,1.0
 Focus,2019,16000,Automatic,24017,Petrol,1.0
 Focus,2019,22000,Automatic,24017,Diesel,2.0
 Focus,2020,18500,Manual,24017,Petrol,1.0
 Focus,2016,10000,Manual,24017,Petrol,1.0
 Focus,2013,6500,Manual,24017,Petrol,1.0
 Focus,2018,14500,Automatic,24017,Petrol,1.0
 Focus,2019,19500,Manual,24017,Diesel,1.5
 Focus,2017,11750,Manual,24017,Diesel,1.5
 Focus,2016,16000,Manual,24017,Petrol,2.0
 Focus,2017,14000,Automatic,24017,Petrol,1.0
 Focus,2017,18500,Manual,24017,Petrol,2.0
 Focus,2019,16040,Manual,24017,Petrol,1.0
 Focus,2019,14560,Manual,24017,Petrol,1.0
 Focus,2019,16040,Manual,24017,Diesel,1.5
 Focus,2019,14560,Manual,24017,Petrol,1.0
 Focus,2019,16950,Manual,24017,Petrol,1.0
 Focus,2019,14760,Manual,24017,Petrol,1.0
 Focus,2019,18650,Automatic,24017,Diesel,1.5
 Focus,2019,14610,Manual,24017,Petrol,1.0
 Focus,2019,14460,Manual,24017,Petrol,1.0
 Focus,2019,14660,Manual,24017,Petrol,1.0
 Focus,2019,14510,Manual,24017,Petrol,1.0
 Focus,2019,20165,Manual,24017,Petrol,1.5
 Focus,2019,15935,Manual,24017,Petrol,1.0
 Focus,2019,18650,Manual,24017,Petrol,1.0
 Focus,2019,20275,Manual,24017,Petrol,1.5
 Focus,2019,20435,Manual,24017,Petrol,1.5
 Focus,2015,7500,Manual,24017,Petrol,1.0
 Focus,2019,16000,Automatic,24017,Petrol,1.0
 Focus,2016,10000,Manual,24017,Petrol,1.0
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2019,18785,Manual,24017,Diesel,1.5
 Focus,2019,18580,Manual,24017,Diesel,1.5
 Focus,2019,15885,Manual,24017,Petrol,1.0
 Focus,2019,16040,Manual,24017,Diesel,1.5
 Focus,2019,29395,Manual,24017,Petrol,2.3
 Focus,2019,28580,Manual,24017,Petrol,2.3
 Focus,2019,19575,Automatic,24017,Diesel,1.5
 Focus,2019,17580,Manual,24017,Petrol,1.0
 Focus,2019,17500,Manual,24017,Diesel,1.5
 Focus,2019,19665,Manual,24017,Diesel,2.0
 Focus,2019,16440,Automatic,24017,Petrol,1.0
 Focus,2019,21660,Automatic,24017,Diesel,2.0
 Focus,2019,19000,Automatic,24017,Diesel,2.0
 Focus,2019,16395,Manual,24017,Diesel,1.5
 Focus,2019,16655,Manual,24017,Petrol,1.5
 Focus,2019,15335,Manual,24017,Petrol,1.0
 Focus,2019,15235,Manual,24017,Petrol,1.0
 Focus,2019,18960,Manual,24017,Petrol,1.0
 Focus,2019,19560,Automatic,24017,Diesel,1.5
 Focus,2017,12000,Automatic,24017,Petrol,1.0
 Focus,2017,13000,Manual,24017,Petrol,1.0
 Focus,2018,11000,Manual,24017,Petrol,1.0
 Focus,2019,16920,Manual,24017,Petrol,1.5
 Focus,2019,16350,Manual,24017,Petrol,1.0
 Focus,2019,18330,Manual,24017,Diesel,1.5
 Focus,2019,15885,Manual,24017,Petrol,1.0
 Focus,2019,15335,Manual,24017,Petrol,1.0
 Focus,2019,15435,Manual,24017,Petrol,1.0
 Focus,2019,14510,Manual,24017,Petrol,1.0
 Focus,2019,19175,Automatic,24017,Diesel,1.5
 Focus,2019,20320,Automatic,24017,Petrol,1.5
 Focus,2019,16035,Manual,24017,Petrol,1.0
 Focus,2019,16635,Automatic,24017,Petrol,1.0
 Focus,2019,16700,Manual,24017,Petrol,1.0
 Focus,2019,16840,Manual,24017,Petrol,1.0
 Focus,2019,16400,Manual,24017,Petrol,1.0
 Focus,2019,17150,Automatic,24017,Petrol,1.0
 Focus,2019,18030,Manual,24017,Petrol,1.0
 Focus,2019,17300,Automatic,24017,Petrol,1.0
 Focus,2019,20570,Automatic,24017,Petrol,1.5
 Focus,2019,21080,Automatic,24017,Diesel,2.0
 Focus,2019,21680,Automatic,24017,Diesel,2.0
 Focus,2019,15540,Manual,24017,Diesel,1.5
 Focus,2019,15335,Manual,24017,Petrol,1.0
 Focus,2019,15940,Manual,24017,Diesel,1.5
 Focus,2019,16040,Manual,24017,Petrol,1.0
 Focus,2019,17300,Manual,24017,Petrol,1.0
 Focus,2019,17440,Manual,24017,Diesel,1.5
 Focus,2019,17500,Automatic,24017,Petrol,1.0
 Focus,2019,19375,Manual,24017,Diesel,1.5
 Focus,2019,18225,Manual,24017,Petrol,1.0
 Focus,2019,16400,Manual,24017,Petrol,1.0
 Focus,2019,20660,Automatic,24017,Diesel,2.0
 Focus,2017,18500,Manual,24017,Petrol,2.0
 Focus,2015,8000,Manual,24017,Diesel,1.5
 Focus,2018,13500,Manual,24017,Petrol,1.0
 Focus,2019,16400,Manual,24017,Petrol,1.0
 Focus,2019,15940,Manual,24017,Diesel,1.5
 Focus,2019,16090,Manual,24017,Diesel,1.5
 Focus,2019,16950,Manual,24017,Petrol,1.0
 Focus,2019,14090,Manual,24017,Petrol,1.0
 Focus,2019,16450,Manual,24017,Petrol,1.0
 Focus,2017,10750,Manual,24017,Diesel,1.5
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2019,21570,Automatic,24017,Diesel,2.0
 Focus,2019,17145,Manual,24017,Diesel,1.5
 Focus,2019,21570,Automatic,24017,Diesel,2.0
 Focus,2019,22510,Automatic,24017,Diesel,2.0
 Focus,2019,22150,Automatic,24017,Diesel,2.0
 Focus,2019,22660,Automatic,24017,Diesel,2.0
 Focus,2019,18860,Manual,24017,Diesel,2.0
 Focus,2015,7500,Manual,24017,Petrol,1.0
 Focus,2017,18500,Manual,24017,Petrol,2.0
 Focus,2015,8000,Manual,24017,Diesel,1.5
 Focus,2019,22000,Automatic,24017,Diesel,2.0
 Focus,2013,6500,Manual,24017,Petrol,1.0
 Focus,2016,10250,Manual,24017,Petrol,1.0
 Focus,2019,16000,Automatic,24017,Petrol,1.0
 Focus,2019,22000,Automatic,24017,Diesel,2.0
 Focus,2020,18500,Manual,24017,Petrol,1.0
 Focus,2016,10000,Manual,24017,Petrol,1.0
 Focus,2013,6500,Manual,24017,Petrol,1.0
 Focus,2017,11250,Manual,24017,Diesel,1.5
 Focus,2018,13500,Manual,24017,Petrol,1.0
 Focus,2017,10750,Manual,24017,Diesel,1.5
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2017,12000,Automatic,24017,Petrol,1.0
 Focus,2017,13000,Manual,24017,Petrol,1.0
 Focus,2018,11000,Manual,24017,Petrol,1.0
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2019,20435,Manual,24017,Petrol,1.5
 Focus,2019,29635,Manual,24017,Petrol,2.3
 Focus,2019,29850,Manual,24017,Petrol,2.3
 Focus,2018,14500,Automatic,24017,Petrol,1.0
 Focus,2019,19500,Manual,24017,Diesel,1.5
 Focus,2019,14450,Automatic,24017,Petrol,1.0
 Focus,2017,14000,Automatic,24017,Petrol,1.0
 Focus,2017,11750,Manual,24017,Diesel,1.5
 Focus,2016,16000,Manual,24017,Petrol,2.0
 Focus,2015,7500,Manual,24017,Petrol,1.0
 Focus,2016,10250,Manual,24017,Petrol,1.0
 Focus,2019,16000,Automatic,24017,Petrol,1.0
 Focus,2019,22000,Automatic,24017,Diesel,2.0
 Focus,2020,18500,Manual,24017,Petrol,1.0
 Focus,2016,10000,Manual,24017,Petrol,1.0
 Focus,2019,14460,Manual,24017,Petrol,1.0
